id,date,price,stock_id
1,01/08/1997,1710.58,20
2,01/09/1997,1610.60,20
3,01/10/1997,1607.86,20
4,01/11/1997,1598.99,20
5,01/12/1997,1530.51,20
6,01/01/1998,1485.79,20
7,01/02/1998,1465.56,20
8,01/03/1998,1437.70,20
9,01/04/1998,1418.16,20
10,01/05/1998,1364.72,20
11,01/06/1998,1307.24,20
12,01/07/1998,1309.21,20
13,01/08/1998,1310.90,20
14,01/09/1998,1342.27,20
15,01/10/1998,1304.06,20
16,01/11/1998,1294.96,20
17,01/12/1998,1249.06,20
18,01/01/1999,1218.46,20
19,01/02/1999,1186.85,20
20,01/03/1999,1181.59,20
21,01/04/1999,1278.20,20
22,01/05/1999,1323.46,20
23,01/06/1999,1315.31,20
24,01/07/1999,1403.76,20
25,01/08/1999,1431.32,20
26,01/09/1999,1492.48,20
27,01/10/1999,1474.41,20
28,01/11/1999,1472.76,20
29,01/12/1999,1554.48,20
30,01/01/2000,1680.28,20
31,01/02/2000,1670.27,20
32,01/03/2000,1577.05,20
33,01/04/2000,1457.14,20
34,01/05/2000,1466.79,20
35,01/06/2000,1506.31,20
36,01/07/2000,1563.50,20
37,01/08/2000,1527.63,20
38,01/09/2000,1601.21,20
39,01/10/2000,1500.24,20
40,01/11/2000,1473.86,20
41,01/12/2000,1565.41,20
42,01/01/2001,1615.65,20
43,01/02/2001,1604.36,20
44,01/03/2001,1509.17,20
45,01/04/2001,1496.91,20
46,01/05/2001,1538.77,20
47,01/06/2001,1466.13,20
48,01/07/2001,1416.39,20
49,01/08/2001,1377.08,20
50,01/09/2001,1344.56,20
51,01/10/2001,1282.50,20
52,01/11/2001,1327.46,20
53,01/12/2001,1344.63,20
54,01/01/2002,1368.59,20
55,01/02/2002,1369.34,20
56,01/03/2002,1405.00,20
57,01/04/2002,1369.99,20
58,01/05/2002,1343.30,20
59,01/06/2002,1353.97,20
60,01/07/2002,1338.09,20
61,01/08/2002,1291.60,20
62,01/09/2002,1301.25,20
63,01/10/2002,1310.58,20
64,01/11/2002,1372.20,20
65,01/12/2002,1375.07,20
66,01/01/2003,1378.28,20
67,01/02/2003,1422.16,20
68,01/03/2003,1389.27,20
69,01/04/2003,1332.01,20
70,01/05/2003,1398.49,20
71,01/06/2003,1409.85,20
72,01/07/2003,1436.09,20
73,01/08/2003,1456.31,20
74,01/09/2003,1415.57,20
75,01/10/2003,1474.25,20
76,01/11/2003,1508.34,20
77,01/12/2003,1554.91,20
78,01/01/2004,1606.49,20
79,01/02/2004,1685.63,20
80,01/03/2004,1655.99,20
81,01/04/2004,1729.74,20
82,01/05/2004,1623.22,20
83,01/06/2004,1677.72,20
84,01/07/2004,1709.27,20
85,01/08/2004,1692.19,20
86,01/09/2004,1723.60,20
87,01/10/2004,1819.57,20
88,01/11/2004,1813.90,20
89,01/12/2004,1849.18,20
90,01/01/2005,1834.43,20
91,01/02/2005,1882.85,20
92,01/03/2005,1979.85,20
93,01/04/2005,1894.29,20
94,01/05/2005,1743.70,20
95,01/06/2005,1731.30,20
96,01/07/2005,1778.79,20
97,01/08/2005,1867.84,20
98,01/09/2005,1839.91,20
99,01/10/2005,1928.71,20
100,01/11/2005,2050.59,20
101,01/12/2005,2247.45,20
102,01/01/2006,2377.86,20
103,01/02/2006,2455.33,20
104,01/03/2006,2429.13,20
105,01/04/2006,2621.11,20
106,01/05/2006,2861.48,20
107,01/06/2006,2477.34,20
108,01/07/2006,2512.71,20
109,01/08/2006,2459.93,20
110,01/09/2006,2472.88,20
111,01/10/2006,2654.59,20
112,01/11/2006,2702.80,20
113,01/12/2006,2813.63,20
114,01/01/2007,2809.34,20
115,01/02/2007,2832.20,20
116,01/03/2007,2761.73,20
117,01/04/2007,2814.79,20
118,01/05/2007,2792.75,20
119,01/06/2007,2676.93,20
120,01/07/2007,2732.44,20
121,01/08/2007,2515.77,20
122,01/09/2007,2391.25,20
123,01/10/2007,2442.37,20
124,01/11/2007,2506.89,20
125,01/12/2007,2381.69,20
126,01/01/2008,2445.52,20
127,01/02/2008,2776.93,20
128,01/03/2008,3005.29,20
129,01/04/2008,2959.27,20
130,01/05/2008,2902.90,20
131,01/06/2008,2957.86,20
132,01/07/2008,3071.24,20
133,01/08/2008,2764.38,20
134,01/09/2008,2525.82,20
135,01/10/2008,2121.41,20
136,01/11/2008,1852.43,20
137,01/12/2008,1490.43,20
138,01/01/2009,1413.12,20
139,01/02/2009,1330.20,20
140,01/03/2009,1335.84,20
141,01/04/2009,1420.85,20
142,01/05/2009,1460.45,20
143,01/06/2009,1573.73,20
144,01/07/2009,1667.96,20
145,01/08/2009,1933.75,20
146,01/09/2009,1834.11,20
147,01/10/2009,1878.57,20
148,01/11/2009,1949.29,20
149,01/12/2009,2180.10,20
150,01/01/2010,2235.15,20
151,01/02/2010,2048.93,20
152,01/03/2010,2205.63,20
153,01/04/2010,2316.73,20
154,01/05/2010,2040.53,20
155,01/06/2010,1931.39,20
156,01/07/2010,1988.27,20
157,01/08/2010,2118.14,20
158,01/09/2010,2162.34,20
159,01/10/2010,2346.57,20
160,01/11/2010,2333.07,20
161,01/12/2010,2350.67,20
162,01/01/2011,2439.53,20
163,01/02/2011,2508.18,20
164,01/03/2011,2555.50,20
165,01/04/2011,2678.11,20
166,01/05/2011,2596.45,20
167,01/06/2011,2557.76,20
168,01/07/2011,2525.43,20
169,01/08/2011,2379.35,20
170,01/09/2011,2293.46,20
171,01/10/2011,2180.65,20
172,01/11/2011,2079.98,20
173,01/12/2011,2022.25,20
174,01/01/2012,2144.20,20
175,01/02/2012,2207.92,20
176,01/03/2012,2184.16,20
177,01/04/2012,2049.67,20
178,01/05/2012,2007.63,20
179,01/06/2012,1890.18,20
180,01/07/2012,1876.25,20
181,01/08/2012,1845.38,20
182,01/09/2012,2064.12,20
183,01/10/2012,1974.30,20
184,01/11/2012,1948.83,20
185,01/12/2012,2086.76,20
186,01/01/2013,2037.75,20
187,01/02/2013,2053.60,20
188,01/03/2013,1909.57,20
189,01/04/2013,1861.67,20
190,01/05/2013,1832.02,20
191,01/06/2013,1814.54,20
192,01/07/2013,1769.61,20
193,01/08/2013,1817.62,20
194,01/09/2013,1761.30,20
195,01/10/2013,1814.58,20
196,01/11/2013,1747.96,20
197,01/12/2013,1739.81,20
198,01/01/2014,1727.41,20
199,01/02/2014,1695.17,20
200,01/03/2014,1705.37,20
201,01/04/2014,1810.67,20
202,01/05/2014,1751.05,20
203,01/06/2014,1838.95,20
204,01/07/2014,1948.30,20
205,01/08/2014,2030.49,20
206,01/09/2014,1990.43,20
207,01/10/2014,1946.19,20
208,01/11/2014,2055.55,20
209,01/12/2014,1909.46,20
210,01/01/2015,1814.72,20
211,01/02/2015,1817.82,20
212,01/03/2015,1773.86,20
213,01/04/2015,1819.19,20
214,01/05/2015,1804.04,20
215,01/06/2015,1687.73,20
216,01/07/2015,1639.50,20
217,01/08/2015,1548.13,20
218,01/09/2015,1589.60,20
219,01/10/2015,1516.49,20
220,01/11/2015,1467.89,20
221,01/12/2015,1497.20,20
222,01/01/2016,1481.10,20
223,01/02/2016,1531.26,20
224,01/03/2016,1531.01,20
225,01/04/2016,1571.23,20
226,01/05/2016,1550.63,20
227,01/06/2016,1593.51,20
228,01/07/2016,1629.05,20
229,01/08/2016,1639.28,20
230,01/09/2016,1592.36,20
231,01/10/2016,1665.90,20
232,01/11/2016,1737.11,20
233,01/12/2016,1727.74,20
234,01/01/2017,1791.24,20
235,01/02/2017,1860.75,20
236,01/03/2017,1901.47,20
237,01/04/2017,1921.22,20
238,01/05/2017,1913.02,20
239,01/06/2017,1885.29,20
240,01/07/2017,1902.96,20
241,01/08/2017,2030.01,20
242,01/09/2017,2096.49,20
243,01/10/2017,2131.49,20
244,01/11/2017,2097.44,20
245,01/12/2017,2080.47,20
246,01/01/2018,2209.73,20
247,01/02/2018,2181.79,20
248,01/03/2018,2069.24,20
249,01/04/2018,2254.69,20
250,01/05/2018,2299.67,20
251,01/06/2018,2237.62,20
252,01/07/2018,2082.24,20
253,01/08/2018,2051.51,20
254,01/09/2018,2026.46,20
255,01/10/2018,2029.86,20
256,01/11/2018,1938.51,20
257,01/12/2018,1920.38,20
258,01/01/2019,1853.72,20
259,01/02/2019,1862.99,20
260,01/03/2019,1871.21,20
261,01/04/2019,1845.42,20
262,01/05/2019,1781.26,20
263,01/06/2019,1755.95,20
264,01/07/2019,1796.99,20
265,01/08/2019,1740.68,20
266,01/09/2019,1753.51,20
267,01/10/2019,1725.96,20
268,01/11/2019,1774.79,20
269,01/12/2019,1771.38,20
270,01/01/2020,1773.09,20
271,01/02/2020,1688.10,20
272,01/03/2020,1610.89,20
273,01/04/2020,1459.93,20
274,01/05/2020,1466.37,20
275,01/06/2020,1568.57,20
276,01/07/2020,1643.81,20
277,01/08/2020,1737.26,20
278,01/09/2020,1743.77,20
279,01/10/2020,1806.10,20
280,01/11/2020,1935.28,20
281,01/12/2020,2014.67,20
282,01/01/2021,2003.98,20
283,01/02/2021,2078.59,20
284,01/03/2021,2190.48,20
285,01/04/2021,2319.39,20
286,01/05/2021,2433.53,20
287,01/06/2021,2446.65,20
288,01/07/2021,2497.64,20
289,01/08/2021,2602.99,20
290,01/09/2021,2834.56,20
291,01/10/2021,2934.39,20
292,01/11/2021,2636.45,20
293,01/12/2021,2695.53,20
294,01/01/2022,3005.98,20
295,01/02/2022,3245.79,20
296,01/03/2022,3498.37,20
297,01/04/2022,3244.41,20
298,01/05/2022,2830.32,20
299,01/06/2022,2563.44,20
300,01/07/2022,2408.42,20
