id,date,price,stock_id
1,27/12/2011,1.3074,15
2,28/12/2011,1.2938,15
3,29/12/2011,1.2941,15
4,30/12/2011,1.2961,15
5,02/01/2012,1.293,15
6,03/01/2012,1.3049,15
7,04/01/2012,1.2954,15
8,05/01/2012,1.2795,15
9,06/01/2012,1.2717,15
10,09/01/2012,1.2738,15
11,10/01/2012,1.2778,15
12,11/01/2012,1.2698,15
13,12/01/2012,1.2833,15
14,13/01/2012,1.268,15
15,16/01/2012,1.2673,15
16,17/01/2012,1.2733,15
17,18/01/2012,1.285,15
18,19/01/2012,1.2931,15
19,20/01/2012,1.2931,15
20,23/01/2012,1.3011,15
21,24/01/2012,1.3022,15
22,25/01/2012,1.3048,15
23,26/01/2012,1.3149,15
24,27/01/2012,1.322,15
25,30/01/2012,1.3129,15
26,31/01/2012,1.3071,15
27,01/02/2012,1.3184,15
28,02/02/2012,1.3151,15
29,03/02/2012,1.3158,15
30,06/02/2012,1.3128,15
31,07/02/2012,1.326,15
32,08/02/2012,1.3273,15
33,09/02/2012,1.3297,15
34,10/02/2012,1.3197,15
35,13/02/2012,1.3209,15
36,14/02/2012,1.3118,15
37,15/02/2012,1.3061,15
38,16/02/2012,1.3104,15
39,17/02/2012,1.314,15
40,20/02/2012,1.3239,15
41,21/02/2012,1.3246,15
42,22/02/2012,1.3245,15
43,23/02/2012,1.3316,15
44,24/02/2012,1.3448,15
45,27/02/2012,1.3411,15
46,28/02/2012,1.3453,15
47,29/02/2012,1.3357,15
48,01/03/2012,1.3317,15
49,02/03/2012,1.3198,15
50,05/03/2012,1.3228,15
51,06/03/2012,1.3114,15
52,07/03/2012,1.3144,15
53,08/03/2012,1.3263,15
54,09/03/2012,1.3123,15
55,12/03/2012,1.3148,15
56,13/03/2012,1.311,15
57,14/03/2012,1.3019,15
58,15/03/2012,1.3101,15
59,16/03/2012,1.3175,15
60,19/03/2012,1.3242,15
61,20/03/2012,1.323,15
62,21/03/2012,1.3197,15
63,22/03/2012,1.3184,15
64,23/03/2012,1.327,15
65,26/03/2012,1.3328,15
66,27/03/2012,1.3338,15
67,28/03/2012,1.3306,15
68,29/03/2012,1.3274,15
69,30/03/2012,1.3343,15
70,02/04/2012,1.3329,15
71,03/04/2012,1.333,15
72,04/04/2012,1.3135,15
73,05/04/2012,1.3063,15
74,06/04/2012,1.3097,15
75,09/04/2012,1.3129,15
76,10/04/2012,1.3089,15
77,11/04/2012,1.3119,15
78,12/04/2012,1.3177,15
79,13/04/2012,1.3078,15
80,16/04/2012,1.3092,15
81,17/04/2012,1.3124,15
82,18/04/2012,1.3115,15
83,19/04/2012,1.3124,15
84,20/04/2012,1.3219,15
85,23/04/2012,1.3136,15
86,24/04/2012,1.3198,15
87,25/04/2012,1.3201,15
88,26/04/2012,1.3235,15
89,27/04/2012,1.3255,15
90,30/04/2012,1.3229,15
91,01/05/2012,1.3222,15
92,02/05/2012,1.3167,15
