id,date,price,stock_id
1,27/12/2011,1.5663,14
2,28/12/2011,1.548,14
3,29/12/2011,1.5399,14
4,30/12/2011,1.5543,14
5,02/01/2012,1.5505,14
6,03/01/2012,1.5648,14
7,04/01/2012,1.5631,14
8,05/01/2012,1.5495,14
9,06/01/2012,1.5426,14
10,09/01/2012,1.5425,14
11,10/01/2012,1.5481,14
12,11/01/2012,1.5331,14
13,12/01/2012,1.5339,14
14,13/01/2012,1.5318,14
15,16/01/2012,1.5324,14
16,17/01/2012,1.535,14
17,18/01/2012,1.5426,14
18,19/01/2012,1.5465,14
19,20/01/2012,1.5576,14
20,23/01/2012,1.5573,14
21,24/01/2012,1.5601,14
22,25/01/2012,1.5614,14
23,26/01/2012,1.5708,14
24,27/01/2012,1.5729,14
25,30/01/2012,1.5686,14
26,31/01/2012,1.5749,14
27,01/02/2012,1.5846,14
28,02/02/2012,1.581,14
29,03/02/2012,1.5815,14
30,06/02/2012,1.5821,14
31,07/02/2012,1.5898,14
32,08/02/2012,1.5829,14
33,09/02/2012,1.5834,14
34,10/02/2012,1.5755,14
35,13/02/2012,1.578,14
36,14/02/2012,1.5676,14
37,15/02/2012,1.5702,14
38,16/02/2012,1.5784,14
39,17/02/2012,1.5828,14
40,20/02/2012,1.5846,14
41,21/02/2012,1.5796,14
42,22/02/2012,1.5664,14
43,23/02/2012,1.5704,14
44,24/02/2012,1.5875,14
45,27/02/2012,1.5843,14
46,28/02/2012,1.5881,14
47,29/02/2012,1.5937,14
48,01/03/2012,1.5948,14
49,02/03/2012,1.5835,14
50,05/03/2012,1.5867,14
51,06/03/2012,1.5713,14
52,07/03/2012,1.5739,14
53,08/03/2012,1.582,14
54,09/03/2012,1.5674,14
55,12/03/2012,1.5635,14
56,13/03/2012,1.5722,14
57,14/03/2012,1.5665,14
58,15/03/2012,1.5725,14
59,16/03/2012,1.5844,14
60,19/03/2012,1.5903,14
61,20/03/2012,1.5863,14
62,21/03/2012,1.5852,14
63,22/03/2012,1.5815,14
64,23/03/2012,1.5869,14
65,26/03/2012,1.5943,14
66,27/03/2012,1.5965,14
67,28/03/2012,1.5866,14
68,29/03/2012,1.5921,14
69,30/03/2012,1.6008,14
70,02/04/2012,1.6018,14
71,03/04/2012,1.5968,14
72,04/04/2012,1.5879,14
73,05/04/2012,1.5826,14
74,06/04/2012,1.5871,14
75,09/04/2012,1.5914,14
76,10/04/2012,1.5853,14
77,11/04/2012,1.5911,14
78,12/04/2012,1.5958,14
79,13/04/2012,1.5847,14
80,16/04/2012,1.589,14
81,17/04/2012,1.5932,14
82,18/04/2012,1.602,14
83,19/04/2012,1.6054,14
84,20/04/2012,1.6123,14
85,23/04/2012,1.6119,14
86,24/04/2012,1.6132,14
87,25/04/2012,1.6148,14
88,26/04/2012,1.6185,14
89,27/04/2012,1.6265,14
90,30/04/2012,1.6234,14
91,01/05/2012,1.6219,14
92,02/05/2012,1.6196,14
93,03/05/2012,1.6183,14
94,04/05/2012,1.6151,14
95,07/05/2012,1.6192,14
96,08/05/2012,1.6156,14
97,09/05/2012,1.6131,14
98,10/05/2012,1.616,14
99,11/05/2012,1.6069,14
100,14/05/2012,1.6107,14
101,15/05/2012,1.602,14
102,16/05/2012,1.5944,14
103,17/05/2012,1.5827,14
104,18/05/2012,1.5817,14
105,21/05/2012,1.5803,14
106,22/05/2012,1.5783,14
107,23/05/2012,1.5689,14
108,24/05/2012,1.5668,14
109,25/05/2012,1.5667,14
110,28/05/2012,1.5678,14
111,29/05/2012,1.5629,14
112,30/05/2012,1.5524,14
113,31/05/2012,1.5417,14
114,01/06/2012,1.5363,14
115,04/06/2012,1.5368,14
116,05/06/2012,1.5356,14
117,06/06/2012,1.5478,14
118,07/06/2012,1.5547,14
119,08/06/2012,1.5474,14
120,11/06/2012,1.5494,14
121,12/06/2012,1.5563,14
122,13/06/2012,1.5553,14
123,14/06/2012,1.5527,14
124,15/06/2012,1.5715,14
125,18/06/2012,1.5654,14
126,19/06/2012,1.5731,14
127,20/06/2012,1.5711,14
128,21/06/2012,1.561,14
129,22/06/2012,1.5588,14
130,25/06/2012,1.557,14
131,26/06/2012,1.5631,14
132,27/06/2012,1.5569,14
133,28/06/2012,1.5497,14
134,29/06/2012,1.5707,14
135,02/07/2012,1.5682,14
136,03/07/2012,1.5696,14
137,04/07/2012,1.5604,14
138,05/07/2012,1.5531,14
139,06/07/2012,1.5495,14
140,09/07/2012,1.5512,14
141,10/07/2012,1.5508,14
142,11/07/2012,1.5531,14
143,12/07/2012,1.5422,14
144,13/07/2012,1.5576,14
145,16/07/2012,1.5625,14
146,17/07/2012,1.5617,14
147,18/07/2012,1.5651,14
148,19/07/2012,1.5721,14
149,20/07/2012,1.5623,14
150,23/07/2012,1.5522,14
151,24/07/2012,1.5503,14
152,25/07/2012,1.5482,14
153,26/07/2012,1.5677,14
154,27/07/2012,1.5748,14
155,30/07/2012,1.5692,14
156,31/07/2012,1.5669,14
157,01/08/2012,1.5606,14
158,02/08/2012,1.5506,14
159,03/08/2012,1.564,14
160,06/08/2012,1.5621,14
161,07/08/2012,1.5645,14
162,08/08/2012,1.5662,14
163,09/08/2012,1.5614,14
164,10/08/2012,1.569,14
165,13/08/2012,1.5696,14
166,14/08/2012,1.5688,14
167,15/08/2012,1.5684,14
168,16/08/2012,1.5737,14
169,17/08/2012,1.5697,14
170,20/08/2012,1.5703,14
171,21/08/2012,1.5788,14
172,22/08/2012,1.5793,14
173,23/08/2012,1.5873,14
174,24/08/2012,1.581,14
175,27/08/2012,1.5798,14
176,28/08/2012,1.5831,14
177,29/08/2012,1.5832,14
178,30/08/2012,1.5788,14
179,31/08/2012,1.5867,14
180,03/09/2012,1.5887,14
181,04/09/2012,1.5881,14
182,05/09/2012,1.591,14
183,06/09/2012,1.5933,14
184,07/09/2012,1.601,14
185,10/09/2012,1.6008,14
186,11/09/2012,1.607,14
187,12/09/2012,1.6107,14
188,13/09/2012,1.6114,14
189,14/09/2012,1.6217,14
190,17/09/2012,1.6258,14
191,18/09/2012,1.624,14
192,19/09/2012,1.6222,14
193,20/09/2012,1.6189,14
194,21/09/2012,1.623,14
195,24/09/2012,1.6205,14
196,25/09/2012,1.6222,14
197,26/09/2012,1.6159,14
198,27/09/2012,1.6223,14
199,28/09/2012,1.6167,14
200,01/10/2012,1.6138,14
201,02/10/2012,1.6164,14
202,03/10/2012,1.6085,14
203,04/10/2012,1.6183,14
204,05/10/2012,1.6136,14
205,08/10/2012,1.6032,14
206,09/10/2012,1.5998,14
207,10/10/2012,1.6003,14
208,11/10/2012,1.6044,14
209,12/10/2012,1.6072,14
210,15/10/2012,1.6068,14
211,16/10/2012,1.6117,14
212,17/10/2012,1.6153,14
213,18/10/2012,1.6136,14
214,19/10/2012,1.6004,14
215,22/10/2012,1.6012,14
216,23/10/2012,1.5941,14
217,24/10/2012,1.6021,14
218,25/10/2012,1.6125,14
219,26/10/2012,1.6106,14
220,29/10/2012,1.6029,14
221,30/10/2012,1.6076,14
222,31/10/2012,1.6134,14
223,01/11/2012,1.6124,14
224,02/11/2012,1.6021,14
225,05/11/2012,1.5965,14
226,06/11/2012,1.5989,14
227,07/11/2012,1.5979,14
228,08/11/2012,1.5976,14
229,09/11/2012,1.5896,14
230,12/11/2012,1.5875,14
231,13/11/2012,1.5879,14
232,14/11/2012,1.5857,14
233,15/11/2012,1.5859,14
234,16/11/2012,1.5883,14
235,19/11/2012,1.591,14
236,20/11/2012,1.5924,14
237,21/11/2012,1.5942,14
238,22/11/2012,1.5928,14
239,23/11/2012,1.6028,14
240,26/11/2012,1.6019,14
241,27/11/2012,1.6027,14
242,28/11/2012,1.6014,14
243,29/11/2012,1.6042,14
244,30/11/2012,1.6013,14
245,03/12/2012,1.6103,14
246,04/12/2012,1.61,14
247,05/12/2012,1.6105,14
248,06/12/2012,1.6042,14
249,07/12/2012,1.6039,14
250,10/12/2012,1.6071,14
251,11/12/2012,1.6112,14
252,12/12/2012,1.6166,14
253,13/12/2012,1.6104,14
254,14/12/2012,1.6174,14
255,17/12/2012,1.62,14
256,18/12/2012,1.6253,14
257,19/12/2012,1.6269,14
258,20/12/2012,1.6275,14
259,21/12/2012,1.6172,14
260,24/12/2012,1.6133,14
261,25/12/2012,1.6119,14
262,26/12/2012,1.6118,14
263,27/12/2012,1.6074,14
264,28/12/2012,1.6153,14
265,31/12/2012,1.6242,14
266,01/01/2013,1.6261,14
267,02/01/2013,1.6231,14
268,03/01/2013,1.6155,14
269,04/01/2013,1.6069,14
270,07/01/2013,1.6091,14
271,08/01/2013,1.6043,14
272,09/01/2013,1.6027,14
273,10/01/2013,1.616,14
274,11/01/2013,1.6132,14
275,14/01/2013,1.6074,14
276,15/01/2013,1.6073,14
277,16/01/2013,1.5994,14
278,17/01/2013,1.5992,14
279,18/01/2013,1.587,14
280,21/01/2013,1.5834,14
281,22/01/2013,1.5853,14
282,23/01/2013,1.584,14
283,24/01/2013,1.5783,14
284,25/01/2013,1.5799,14
285,28/01/2013,1.5692,14
286,29/01/2013,1.5755,14
287,30/01/2013,1.5796,14
288,31/01/2013,1.5874,14
289,01/02/2013,1.5693,14
290,04/02/2013,1.5738,14
291,05/02/2013,1.5644,14
292,06/02/2013,1.5652,14
293,07/02/2013,1.5698,14
294,08/02/2013,1.5801,14
295,11/02/2013,1.5676,14
296,12/02/2013,1.5668,14
297,13/02/2013,1.556,14
298,14/02/2013,1.5493,14
299,15/02/2013,1.5518,14
300,18/02/2013,1.5474,14
301,19/02/2013,1.5419,14
302,20/02/2013,1.5289,14
303,21/02/2013,1.5258,14
304,22/02/2013,1.5163,14
305,25/02/2013,1.5148,14
306,26/02/2013,1.5141,14
307,27/02/2013,1.5136,14
308,28/02/2013,1.5184,14
309,01/03/2013,1.5038,14
310,04/03/2013,1.5088,14
311,05/03/2013,1.5104,14
312,06/03/2013,1.5021,14
313,07/03/2013,1.5027,14
314,08/03/2013,1.4925,14
315,11/03/2013,1.4922,14
316,12/03/2013,1.4902,14
317,13/03/2013,1.4931,14
318,14/03/2013,1.5087,14
319,15/03/2013,1.5114,14
320,18/03/2013,1.509,14
321,19/03/2013,1.5104,14
322,20/03/2013,1.5125,14
323,21/03/2013,1.5172,14
324,22/03/2013,1.523,14
325,25/03/2013,1.5182,14
326,26/03/2013,1.5143,14
327,27/03/2013,1.5118,14
328,28/03/2013,1.5189,14
329,29/03/2013,1.5198,14
330,01/04/2013,1.5231,14
331,02/04/2013,1.5115,14
332,03/04/2013,1.515,14
333,04/04/2013,1.5197,14
334,05/04/2013,1.5336,14
335,08/04/2013,1.5261,14
336,09/04/2013,1.5323,14
337,10/04/2013,1.5314,14
338,11/04/2013,1.54,14
339,12/04/2013,1.5343,14
340,15/04/2013,1.531,14
341,16/04/2013,1.5351,14
342,17/04/2013,1.5245,14
343,18/04/2013,1.5299,14
344,19/04/2013,1.5231,14
345,22/04/2013,1.527,14
346,23/04/2013,1.5268,14
347,24/04/2013,1.5261,14
348,25/04/2013,1.5429,14
349,26/04/2013,1.5473,14
350,29/04/2013,1.5495,14
351,30/04/2013,1.554,14
352,01/05/2013,1.5575,14
353,02/05/2013,1.5529,14
354,03/05/2013,1.5574,14
355,06/05/2013,1.554,14
356,07/05/2013,1.5484,14
357,08/05/2013,1.556,14
358,09/05/2013,1.5502,14
359,10/05/2013,1.5358,14
360,13/05/2013,1.5291,14
361,14/05/2013,1.524,14
362,15/05/2013,1.5208,14
363,16/05/2013,1.5304,14
364,17/05/2013,1.5169,14
365,20/05/2013,1.524,14
366,21/05/2013,1.5172,14
367,22/05/2013,1.5057,14
368,23/05/2013,1.5117,14
369,24/05/2013,1.5127,14
370,27/05/2013,1.5104,14
371,28/05/2013,1.5051,14
372,29/05/2013,1.5112,14
373,30/05/2013,1.5206,14
374,31/05/2013,1.5198,14
375,03/06/2013,1.5335,14
376,04/06/2013,1.5295,14
377,05/06/2013,1.54,14
378,06/06/2013,1.5619,14
379,07/06/2013,1.5558,14
380,10/06/2013,1.5562,14
381,11/06/2013,1.5593,14
382,12/06/2013,1.5685,14
383,13/06/2013,1.569,14
384,14/06/2013,1.5707,14
385,17/06/2013,1.5694,14
386,18/06/2013,1.5638,14
387,19/06/2013,1.5655,14
388,20/06/2013,1.5483,14
389,21/06/2013,1.5419,14
390,24/06/2013,1.5414,14
391,25/06/2013,1.5426,14
392,26/06/2013,1.5326,14
393,27/06/2013,1.5249,14
394,28/06/2013,1.5213,14
395,01/07/2013,1.5218,14
396,02/07/2013,1.5168,14
397,03/07/2013,1.5274,14
398,04/07/2013,1.5079,14
399,05/07/2013,1.489,14
400,08/07/2013,1.4953,14
401,09/07/2013,1.4858,14
402,10/07/2013,1.4938,14
403,11/07/2013,1.5102,14
404,12/07/2013,1.5107,14
405,15/07/2013,1.5085,14
406,16/07/2013,1.5114,14
407,17/07/2013,1.5227,14
408,18/07/2013,1.5201,14
409,19/07/2013,1.5267,14
410,22/07/2013,1.5359,14
411,23/07/2013,1.5375,14
412,24/07/2013,1.5352,14
413,25/07/2013,1.5333,14
414,26/07/2013,1.5382,14
415,29/07/2013,1.5347,14
