id,price,date,stock_id
1,37.87,29/01/1971,1
2,38.74,26/02/1971,1
3,38.87,31/03/1971,1
4,39.01,30/04/1971,1
5,40.52,31/05/1971,1
6,40.1,30/06/1971,1
7,40.95,30/07/1971,1
8,42.73,31/08/1971,1
9,42.02,30/09/1971,1
10,42.5,29/10/1971,1
11,42.86,30/11/1971,1
12,43.48,31/12/1971,1
13,45.75,31/01/1972,1
14,48.26,29/02/1972,1
15,48.33,31/03/1972,1
16,49.03,28/04/1972,1
17,54.62,31/05/1972,1
18,62.09,30/06/1972,1
19,65.67,31/07/1972,1
20,67.03,31/08/1972,1
21,65.47,29/09/1972,1
22,64.86,31/10/1972,1
23,62.91,30/11/1972,1
24,63.91,29/12/1972,1
25,65.14,31/01/1973,1
26,74.2,28/02/1973,1
27,84.37,30/03/1973,1
28,90.5,30/04/1973,1
29,101.96,31/05/1973,1
30,120.12,29/06/1973,1
31,120.17,31/07/1973,1
32,106.76,31/08/1973,1
33,102.97,28/09/1973,1
34,100.08,31/10/1973,1
35,94.82,30/11/1973,1
36,106.72,31/12/1973,1
37,129.19,31/01/1974,1
38,150.23,28/02/1974,1
39,168.42,29/03/1974,1
40,172.24,30/04/1974,1
41,163.27,31/05/1974,1
42,154.1,28/06/1974,1
43,142.98,31/07/1974,1
44,154.64,30/08/1974,1
45,151.77,30/09/1974,1
46,158.78,31/10/1974,1
47,181.66,29/11/1974,1
48,183.85,31/12/1974,1
49,175.8,31/01/1975,1
50,181.75,28/02/1975,1
51,178.16,31/03/1975,1
52,167,30/04/1975,1
53,167,30/05/1975,1
54,166.25,30/06/1975,1
55,166.7,31/07/1975,1
56,159.8,29/08/1975,1
57,141.25,30/09/1975,1
58,142.9,31/10/1975,1
59,138.15,28/11/1975,1
60,140.25,31/12/1975,1
61,128.15,30/01/1976,1
62,132.3,27/02/1976,1
63,129.6,31/03/1976,1
64,128.4,30/04/1976,1
65,125.5,31/05/1976,1
66,123.8,30/06/1976,1
67,112.5,30/07/1976,1
68,104,31/08/1976,1
69,116,30/09/1976,1
70,123.15,29/10/1976,1
71,130.25,30/11/1976,1
72,134.5,31/12/1976,1
73,132.3,31/01/1977,1
74,142.75,28/02/1977,1
75,148.9,31/03/1977,1
76,147.25,29/04/1977,1
77,142.95,31/05/1977,1
78,143,30/06/1977,1
79,144.1,29/07/1977,1
80,146,31/08/1977,1
81,154.05,30/09/1977,1
82,161.5,31/10/1977,1
83,160.05,30/11/1977,1
84,164.95,30/12/1977,1
85,175.75,31/01/1978,1
86,182.25,28/02/1978,1
87,181.6,31/03/1978,1
88,170.85,28/04/1978,1
89,184.15,31/05/1978,1
90,183.05,30/06/1978,1
91,200.25,31/07/1978,1
92,208.7,31/08/1978,1
93,217.1,29/09/1978,1
94,242.6,31/10/1978,1
95,193.4,30/11/1978,1
96,226,29/12/1978,1
97,233.7,31/01/1979,1
98,251.3,28/02/1979,1
99,240.1,30/03/1979,1
100,245.3,30/04/1979,1
101,274.6,31/05/1979,1
102,277.5,29/06/1979,1
103,296.45,31/07/1979,1
104,315.1,31/08/1979,1
105,397.25,28/09/1979,1
106,382,31/10/1979,1
107,415.65,30/11/1979,1
108,512,31/12/1979,1
109,653,31/01/1980,1
110,637,29/02/1980,1
111,494.5,31/03/1980,1
112,518,30/04/1980,1
113,535.5,30/05/1980,1
114,653.5,30/06/1980,1
115,614.25,31/07/1980,1
116,631.25,29/08/1980,1
117,666.75,30/09/1980,1
118,629,31/10/1980,1
119,619.75,28/11/1980,1
120,589.75,31/12/1980,1
121,506.5,30/01/1981,1
122,489,27/02/1981,1
123,513.75,31/03/1981,1
124,482.75,30/04/1981,1
125,479.25,29/05/1981,1
126,426,30/06/1981,1
127,406,31/07/1981,1
128,425.5,31/08/1981,1
129,428.75,30/09/1981,1
130,427,30/10/1981,1
131,414.5,30/11/1981,1
132,397.5,31/12/1981,1
133,387,29/01/1982,1
134,362.6,26/02/1982,1
135,320,31/03/1982,1
136,361.25,30/04/1982,1
137,325.25,31/05/1982,1
138,317.5,30/06/1982,1
139,342.9,30/07/1982,1
140,411.5,31/08/1982,1
141,397,30/09/1982,1
142,423.25,29/10/1982,1
143,436,30/11/1982,1
144,456.9,31/12/1982,1
145,499.5,31/01/1983,1
146,408.5,28/02/1983,1
147,414.75,31/03/1983,1
148,429.25,29/04/1983,1
149,437.5,31/05/1983,1
150,416,30/06/1983,1
151,422,29/07/1983,1
152,414.25,31/08/1983,1
153,405,30/09/1983,1
154,382,31/10/1983,1
155,405,30/11/1983,1
156,382.4,30/12/1983,1
157,373.75,31/01/1984,1
158,394.25,29/02/1984,1
159,388.5,30/03/1984,1
160,375.8,30/04/1984,1
161,384.25,31/05/1984,1
162,373.05,29/06/1984,1
163,342.35,31/07/1984,1
164,348.25,31/08/1984,1
165,343.75,28/09/1984,1
166,333.5,31/10/1984,1
167,329,30/11/1984,1
168,309,31/12/1984,1
169,306.65,31/01/1985,1
170,287.75,28/02/1985,1
171,329.25,29/03/1985,1
172,321.35,30/04/1985,1
173,314,31/05/1985,1
174,317.75,28/06/1985,1
175,327.5,31/07/1985,1
176,333.25,30/08/1985,1
177,326.5,30/09/1985,1
178,325.1,31/10/1985,1
179,325.3,29/11/1985,1
180,326.8,31/12/1985,1
181,350.5,31/01/1986,1
182,338.15,28/02/1986,1
183,344,31/03/1986,1
184,345.75,30/04/1986,1
185,343.2,30/05/1986,1
186,345.5,30/06/1986,1
187,357.5,31/07/1986,1
188,384.7,29/08/1986,1
189,423.2,30/09/1986,1
190,401,31/10/1986,1
191,383.5,28/11/1986,1
192,388.75,31/12/1986,1
193,400.5,30/01/1987,1
194,405.85,27/02/1987,1
195,405.85,31/03/1987,1
196,453.25,30/04/1987,1
197,451,29/05/1987,1
198,447.3,30/06/1987,1
199,462.5,31/07/1987,1
200,453.4,31/08/1987,1
201,459.5,30/09/1987,1
202,468.8,30/10/1987,1
203,492.5,30/11/1987,1
204,484.1,31/12/1987,1
205,458,29/01/1988,1
206,426.15,29/02/1988,1
207,456.95,31/03/1988,1
208,449,29/04/1988,1
209,455.5,31/05/1988,1
210,436.55,30/06/1988,1
211,436.8,29/07/1988,1
212,427.75,31/08/1988,1
213,397.7,30/09/1988,1
214,412.4,31/10/1988,1
215,422.6,30/11/1988,1
216,410.25,30/12/1988,1
217,394,31/01/1989,1
218,387,28/02/1989,1
219,383.2,31/03/1989,1
220,377.55,28/04/1989,1
221,361.8,31/05/1989,1
222,373,30/06/1989,1
223,368.3,31/07/1989,1
224,359.8,31/08/1989,1
225,366.5,29/09/1989,1
226,375.3,31/10/1989,1
227,408.15,30/11/1989,1
228,401.25,29/12/1989,1
229,415.05,31/01/1990,1
230,407.7,28/02/1990,1
231,368.5,30/03/1990,1
232,367.75,30/04/1990,1
233,363.05,31/05/1990,1
234,352.2,29/06/1990,1
235,372.3,31/07/1990,1
236,387.75,31/08/1990,1
237,408.4,28/09/1990,1
238,379.5,31/10/1990,1
239,384.85,30/11/1990,1
240,382.8,31/12/1990,1
241,366,31/01/1991,1
242,362.7,28/02/1991,1
243,355.65,29/03/1991,1
244,357.75,30/04/1991,1
245,360.4,31/05/1991,1
246,368.35,28/06/1991,1
247,362.85,31/07/1991,1
248,347.4,30/08/1991,1
249,354.9,30/09/1991,1
250,357.45,31/10/1991,1
251,366.3,29/11/1991,1
252,353.15,31/12/1991,1
253,354.1,31/01/1992,1
254,353.75,28/02/1992,1
255,341.7,31/03/1992,1
256,336.35,30/04/1992,1
257,337.5,29/05/1992,1
258,343.4,30/06/1992,1
259,357.85,31/07/1992,1
260,342,31/08/1992,1
261,349,30/09/1992,1
262,339.25,30/10/1992,1
263,334.2,30/11/1992,1
264,332.9,31/12/1992,1
265,330.45,29/01/1993,1
266,327.6,26/02/1993,1
267,337.8,31/03/1993,1
268,354.3,30/04/1993,1
269,374.75,31/05/1993,1
270,378.45,30/06/1993,1
271,401.75,30/07/1993,1
272,371.55,31/08/1993,1
273,355.5,30/09/1993,1
274,369.6,29/10/1993,1
275,370.9,30/11/1993,1
276,390.7,31/12/1993,1
277,377.9,31/01/1994,1
278,381.55,28/02/1994,1
279,389.2,31/03/1994,1
280,376.45,29/04/1994,1
281,387.6,31/05/1994,1
282,388.25,30/06/1994,1
283,384,29/07/1994,1
284,385.75,31/08/1994,1
285,394.85,30/09/1994,1
286,383.85,31/10/1994,1
287,383.1,30/11/1994,1
288,383.2,30/12/1994,1
289,375.1,31/01/1995,1
290,377.1,28/02/1995,1
291,391.4,31/03/1995,1
292,387.1,28/04/1995,1
293,384.3,31/05/1995,1
294,384.6,30/06/1995,1
295,382.6,31/07/1995,1
296,382.75,31/08/1995,1
297,384,29/09/1995,1
298,383,31/10/1995,1
299,387.8,30/11/1995,1
300,387.1,29/12/1995,1
301,406.3,31/01/1996,1
302,400.75,29/02/1996,1
303,395.95,29/03/1996,1
304,391.35,30/04/1996,1
305,391.8,31/05/1996,1
306,382.35,28/06/1996,1
307,385.35,31/07/1996,1
308,386.1,30/08/1996,1
309,378.05,30/09/1996,1
310,379.05,31/10/1996,1
311,371.65,29/11/1996,1
312,369.15,31/12/1996,1
313,344.25,31/01/1997,1
314,359.35,28/02/1997,1
315,348.6,31/03/1997,1
316,339.95,30/04/1997,1
