id,date,price,stock_id
1,01/08/2012,107.50,25
2,01/09/2012,99.47,25
3,01/10/2012,113.95,25
4,01/11/2012,120.35,25
5,01/12/2012,128.51,25
6,01/01/2013,150.49,25
7,01/02/2013,154.64,25
8,01/03/2013,139.87,25
9,01/04/2013,137.39,25
10,01/05/2013,124.01,25
11,01/06/2013,114.82,25
12,01/07/2013,127.19,25
13,01/08/2013,137.06,25
14,01/09/2013,134.19,25
15,01/10/2013,132.57,25
16,01/11/2013,136.32,25
17,01/12/2013,135.79,25
18,01/01/2014,128.12,25
19,01/02/2014,121.37,25
20,01/03/2014,111.83,25
21,01/04/2014,114.58,25
22,01/05/2014,100.56,25
23,01/06/2014,92.74,25
24,01/07/2014,96.05,25
25,01/08/2014,92.61,25
26,01/09/2014,82.38,25
27,01/10/2014,81.06,25
28,01/11/2014,73.73,25
29,01/12/2014,68.39,25
30,01/01/2015,68.23,25
31,01/02/2015,62.75,25
32,01/03/2015,58.05,25
33,01/04/2015,52.28,25
34,01/05/2015,60.30,25
35,01/06/2015,62.63,25
36,01/07/2015,52.39,25
37,01/08/2015,56.19,25
38,01/09/2015,56.95,25
39,01/10/2015,53.12,25
40,01/11/2015,46.86,25
41,01/12/2015,40.50,25
42,01/01/2016,41.88,25
43,01/02/2016,46.83,25
44,01/03/2016,56.20,25
45,01/04/2016,60.92,25
46,01/05/2016,55.13,25
47,01/06/2016,51.98,25
48,01/07/2016,57.26,25
49,01/08/2016,60.89,25
50,01/09/2016,57.79,25
51,01/10/2016,59.09,25
52,01/11/2016,73.10,25
53,01/12/2016,80.02,25
54,01/01/2017,80.41,25
55,01/02/2017,89.44,25
56,01/03/2017,87.65,25
57,01/04/2017,70.22,25
58,01/05/2017,62.43,25
59,01/06/2017,57.48,25
60,01/07/2017,67.74,25
61,01/08/2017,76.07,25
62,01/09/2017,71.53,25
63,01/10/2017,61.66,25
64,01/11/2017,64.24,25
65,01/12/2017,72.25,25
66,01/01/2018,76.34,25
67,01/02/2018,77.46,25
68,01/03/2018,70.35,25
69,01/04/2018,65.75,25
70,01/05/2018,66.10,25
71,01/06/2018,65.04,25
72,01/07/2018,64.56,25
73,01/08/2018,67.15,25
74,01/09/2018,68.44,25
75,01/10/2018,73.41,25
76,01/11/2018,73.26,25
77,01/12/2018,69.16,25
78,01/01/2019,76.16,25
79,01/02/2019,88.22,25
80,01/03/2019,86.47,25
81,01/04/2019,93.70,25
82,01/05/2019,100.15,25
83,01/06/2019,108.94,25
84,01/07/2019,120.24,25
85,01/08/2019,93.07,25
86,01/09/2019,93.08,25
87,01/10/2019,88.53,25
88,01/11/2019,84.98,25
89,01/12/2019,92.65,25
90,01/01/2020,95.76,25
91,01/02/2020,87.68,25
92,01/03/2020,88.99,25
93,01/04/2020,84.73,25
94,01/05/2020,93.65,25
95,01/06/2020,103.30,25
96,01/07/2020,108.52,25
97,01/08/2020,121.07,25
98,01/09/2020,123.75,25
99,01/10/2020,119.78,25
100,01/11/2020,124.36,25
101,01/12/2020,155.43,25
102,01/01/2021,169.63,25
103,01/02/2021,163.80,25
104,01/03/2021,168.18,25
105,01/04/2021,179.83,25
106,01/05/2021,207.72,25
107,01/06/2021,214.43,25
108,01/07/2021,214.14,25
109,01/08/2021,162.16,25
110,01/09/2021,124.52,25
111,01/10/2021,122.91,25
112,01/11/2021,96.24,25
113,01/12/2021,116.96,25
114,01/01/2022,132.53,25
115,01/02/2022,142.84,25
116,01/03/2022,152.07,25
117,01/04/2022,151.25,25
118,01/05/2022,131.21,25
119,01/06/2022,130.74,25
120,01/07/2022,108.57,25
