id,date,price,stock_id,,,
1,29/06/2010,1.5927,18,,,
2,30/06/2010,1.5887,18,,,
3,01/07/2010,1.464,18,,,
4,02/07/2010,1.28,18,,,
5,06/07/2010,1.074,18,,,
6,07/07/2010,1.0533,18,,,
7,08/07/2010,1.164,18,,,
8,09/07/2010,1.16,18,,,
9,12/07/2010,1.1367,18,,,
10,13/07/2010,1.2093,18,,,
11,14/07/2010,1.3227,18,,,
12,15/07/2010,1.326,18,,,
13,16/07/2010,1.376,18,,,
14,19/07/2010,1.4607,18,,,
15,20/07/2010,1.3533,18,,,
16,21/07/2010,1.348,18,,,
17,22/07/2010,1.4,18,,,
18,23/07/2010,1.4193,18,,,
19,26/07/2010,1.3967,18,,,
20,27/07/2010,1.37,18,,,
21,28/07/2010,1.3813,18,,,
22,29/07/2010,1.3567,18,,,
23,30/07/2010,1.3293,18,,,
24,02/08/2010,1.3947,18,,,
25,03/08/2010,1.4633,18,,,
26,04/08/2010,1.4173,18,,,
27,05/08/2010,1.3633,18,,,
28,06/08/2010,1.306,18,,,
29,09/08/2010,1.3067,18,,,
30,10/08/2010,1.2687,18,,,
31,11/08/2010,1.1933,18,,,
32,12/08/2010,1.1733,18,,,
33,13/08/2010,1.2213,18,,,
34,16/08/2010,1.252,18,,,
35,17/08/2010,1.2767,18,,,
36,18/08/2010,1.2513,18,,,
37,19/08/2010,1.2527,18,,,
38,20/08/2010,1.2733,18,,,
39,23/08/2010,1.342,18,,,
40,24/08/2010,1.28,18,,,
41,25/08/2010,1.3267,18,,,
42,26/08/2010,1.3167,18,,,
43,27/08/2010,1.3133,18,,,
44,30/08/2010,1.3247,18,,,
45,31/08/2010,1.2987,18,,,
46,01/09/2010,1.3633,18,,,
47,02/09/2010,1.404,18,,,
48,03/09/2010,1.4033,18,,,
49,07/09/2010,1.3693,18,,,
50,08/09/2010,1.3933,18,,,
51,09/09/2010,1.3807,18,,,
52,10/09/2010,1.3447,18,,,
53,13/09/2010,1.3813,18,,,
54,14/09/2010,1.408,18,,,
55,15/09/2010,1.4653,18,,,
56,16/09/2010,1.396,18,,,
57,17/09/2010,1.3487,18,,,
58,20/09/2010,1.4037,18,,,
59,21/09/2010,1.3847,18,,,
60,22/09/2010,1.3247,18,,,
61,23/09/2010,1.304,18,,,
62,24/09/2010,1.34,18,,,
63,27/09/2010,1.3687,18,,,
64,28/09/2010,1.4267,18,,,
65,29/09/2010,1.4653,18,,,
66,30/09/2010,1.3603,18,,,
67,01/10/2010,1.3733,18,,,
68,04/10/2010,1.3993,18,,,
69,05/10/2010,1.408,18,,,
70,06/10/2010,1.364,18,,,
71,07/10/2010,1.362,18,,,
72,08/10/2010,1.362,18,,,
73,11/10/2010,1.3493,18,,,
74,12/10/2010,1.3493,18,,,
75,13/10/2010,1.3693,18,,,
76,14/10/2010,1.3833,18,,,
77,15/10/2010,1.3693,18,,,
78,18/10/2010,1.3487,18,,,
79,19/10/2010,1.3367,18,,,
80,20/10/2010,1.3767,18,,,
81,21/10/2010,1.3833,18,,,
82,22/10/2010,1.3813,18,,,
83,25/10/2010,1.39,18,,,
84,26/10/2010,1.424,18,,,
85,27/10/2010,1.4,18,,,
86,28/10/2010,1.4127,18,,,
87,29/10/2010,1.456,18,,,
88,01/11/2010,1.4273,18,,,
89,02/11/2010,1.4167,18,,,
90,03/11/2010,1.4513,18,,,
91,04/11/2010,1.66,18,,,
92,05/11/2010,1.6293,18,,,
93,08/11/2010,1.6653,18,,,
94,09/11/2010,1.642,18,,,
95,10/11/2010,1.9573,18,,,
96,11/11/2010,1.869,18,,,
97,12/11/2010,1.9893,18,,,
98,15/11/2010,2.0533,18,,,
99,16/11/2010,1.978,18,,,
100,17/11/2010,1.966,18,,,
101,18/11/2010,1.9927,18,,,
102,19/11/2010,2.066,18,,,
103,22/11/2010,2.2267,18,,,
104,23/11/2010,2.3047,18,,,
105,24/11/2010,2.3647,18,,,
106,26/11/2010,2.3547,18,,,
107,29/11/2010,2.2887,18,,,
108,30/11/2010,2.3553,18,,,
109,01/12/2010,2.29,18,,,
110,02/12/2010,2.1567,18,,,
111,03/12/2010,2.0993,18,,,
112,06/12/2010,2.0207,18,,,
113,07/12/2010,2.104,18,,,
114,08/12/2010,2.158,18,,,
115,09/12/2010,2.1367,18,,,
116,10/12/2010,2.1013,18,,,
117,13/12/2010,2.0367,18,,,
118,14/12/2010,1.902,18,,,
119,15/12/2010,1.9733,18,,,
120,16/12/2010,2.054,18,,,
121,17/12/2010,2.0907,18,,,
122,20/12/2010,2.1133,18,,,
123,21/12/2010,2.1507,18,,,
124,22/12/2010,2.1753,18,,,
125,23/12/2010,2.006,18,,,
126,27/12/2010,1.7033,18,,,
127,28/12/2010,1.7607,18,,,
128,29/12/2010,1.8487,18,,,
129,30/12/2010,1.7667,18,,,
130,31/12/2010,1.7753,18,,,
131,03/01/2011,1.7747,18,,,
132,04/01/2011,1.778,18,,,
133,05/01/2011,1.7887,18,,,
134,06/01/2011,1.8587,18,,,
135,07/01/2011,1.8827,18,,,
136,10/01/2011,1.8967,18,,,
137,11/01/2011,1.7973,18,,,
138,12/01/2011,1.7973,18,,,
139,13/01/2011,1.748,18,,,
140,14/01/2011,1.7167,18,,,
141,18/01/2011,1.7093,18,,,
142,19/01/2011,1.602,18,,,
143,20/01/2011,1.508,18,,,
144,21/01/2011,1.536,18,,,
145,24/01/2011,1.6327,18,,,
146,25/01/2011,1.6453,18,,,
147,26/01/2011,1.65,18,,,
148,27/01/2011,1.6613,18,,,
149,28/01/2011,1.6007,18,,,
150,31/01/2011,1.6067,18,,,
151,01/02/2011,1.594,18,,,
152,02/02/2011,1.596,18,,,
